,ContrastType,effect,p_value,stat,z_score,Source,Detector,Chroma,Significant,ch_name,Condition
86,t,3.5374632126071197e-06,0.42096824555924467,0.1995260267468315,0.1994170924879603,3,4,hbo,False,S3_D4 hbo,Neutral
87,t,4.187050790226424e-05,0.1460780307598964,1.054572075929796,1.0534035856600708,4,2,hbo,False,S4_D2 hbo,Neutral
88,t,3.5052377644959413e-06,0.44554078920708734,0.13700904211825865,0.13693575274074168,4,4,hbo,False,S4_D4 hbo,Neutral
89,t,2.6186704713820135e-05,0.22334054762494093,0.7615913529911317,0.760959772275908,4,5,hbo,False,S4_D5 hbo,Neutral
90,t,1.134491816207808e-05,0.3321460300582142,0.43426601082330146,0.4339950162449002,5,3,hbo,False,S5_D3 hbo,Neutral
91,t,-1.3200665502487298e-05,0.6368863374098348,-0.3503549348523559,-0.35014840536502506,5,4,hbo,False,S5_D4 hbo,Neutral
92,t,1.2856959708465344e-05,0.3007389714663748,0.5226256493625888,0.5222763360908295,5,6,hbo,False,S5_D6 hbo,Neutral
93,t,-1.9603315009379e-06,0.5579658425334469,-0.14589211790636036,-0.14581388434645834,6,4,hbo,False,S6_D4 hbo,Neutral
94,t,-1.3430059036651544e-05,0.7914523735203336,-0.8121783981122765,-0.8114709778212785,6,5,hbo,False,S6_D5 hbo,Neutral
95,t,-3.1373716482534915e-05,0.8260368828031428,-0.9395475006416341,-0.9386193110473354,6,6,hbo,False,S6_D6 hbo,Neutral
96,t,-1.9048034159707308e-05,0.6769551136848713,-0.459493255548895,-0.45920108342203486,7,5,hbo,False,S7_D5 hbo,Neutral
97,t,6.787382053441637e-06,0.43642670411360085,0.16012135074921297,0.16003512095711458,7,7,hbo,False,S7_D7 hbo,Neutral
98,t,-1.1179578999770342e-05,0.6972789993376909,-0.5169344731608089,-0.516590567930399,8,6,hbo,False,S8_D6 hbo,Neutral
99,t,-2.6163834418011886e-06,0.5325534884240977,-0.08173346340168186,-0.08169026089861006,8,7,hbo,False,S8_D7 hbo,Neutral
